Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.",
I18721,I18721,3781; BzV 11a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.711791,619193,340864,M,n/a (no relatives detected),..,..,354.7,T2b11,"[0.995,1.000]",0.057,0.43995696,ds.half,S18721.Y1.E1.L1,PASS,..,
I18722,I18722,3782; BzV 27a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 50+ yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.055092,61266,33143,F,n/a (no relatives detected),n/a (female),n/a (female),17.55,U5a,"[0.828,0.922]",0.096,0.041529023,ds.half,S18722.Y1.E1.L1,QUESTIONABLE,"sexratio=0.042, mtcontam=[0.828,0.922]",
I18723,I18723,3783; Blok 9/1; 1088,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.618793,588305,324285,M,n/a (no relatives detected),..,..,297.3,V1a1,"[0.992,1.000]",0.05,0.451408179,ds.half,S18723.Y1.E1.L1,PASS,..,
I18724,I18724,3784; BzV 33c,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.601767,639198,351702,F,"Croatia, Bezdanja_a Cave Family C (2 members) (I18073-I18724 have a 2d or 3d relationship)",n/a (female),n/a (female),170.7,HV0e,"[0.974,0.993]",0.077,0.01450294,ds.half,S18724.Y1.E1.L1,PASS,..,
I18725,I18725,3785; BzV 18a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 20-30 yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.954165,641989,353016,M,n/a (no relatives detected),..,..,294.6,V10b1,"[0.984,0.998]",0.075,0.448061419,ds.half,S18725.Y1.E1.L1,PASS,"Xcontam=[0.007,0.016]",
I18727,I18727,3787; Inv. Br. ZPGK 40,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 20-30 yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.645724,451193,245824,F,n/a (no relatives detected),n/a (female),n/a (female),139.7,T2c1d+152,"[0.983,0.996]",0.086,0.014051522,ds.half,S18727.Y1.E1.L1,PASS,..,
I18729,I18729,3789; BzV 22a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.496205,595641,327281,M,n/a (no relatives detected),..,..,279.7,T2b,"[0.989,0.999]",0.102,0.451739384,ds.half,S18729.Y1.E1.L1,PASS,..,
I18730,I18730,3790; BzV 37f,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.43405,575760,316203,F,n/a (no relatives detected),n/a (female),n/a (female),216.5,U5b2b5,"[0.969,0.989]",0.094,0.018257471,ds.half,S18730.Y1.E1.L1,PASS,..,
I18732,I18732,3792; BzV 33b,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 20-30 yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.798079,608986,334955,M,n/a (no relatives detected),..,..,262.1,HV24,"[0.983,0.998]",0.074,0.447679487,ds.half,S18732.Y1.E1.L1,PASS,..,
I18733,I18733,3793; BzV 33d,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 45+ yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,2,0.030343,34271,17928,F,n/a (no relatives detected),n/a (female),n/a (female),6.247812,H1at,"[0.901,0.987]",0.171,0.024057739,"ds.half,ss.half","S18733.Y1.E1.L1,S18733.Y1.E2.L1",PASS,..,
I18734,I18734,3794; BzV 26a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.618283,440524,239749,F,n/a (no relatives detected),n/a (female),n/a (female),120.5,T2a1b1,"[0.990,0.999]",0.123,0.015737929,ds.half,S18734.Y1.E1.L1,PASS,..,
I18737,I18737,3802; BzV 21d,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,Sub adult; 10-12 yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.972105,558485,306869,M,n/a (no relatives detected),..,..,169.3,U5b1c1a,"[0.989,0.999]",0.05,0.42023641,ds.half,S18737.Y1.E1.L1,PASS,..,
I18738,I18738,3803; BzV 39a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 25-35 yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,1.341359,581249,319327,F,n/a (no relatives detected),n/a (female),n/a (female),266.1,H5a6,"[0.966,0.987]",0.077,0.013708812,ds.half,S18738.Y1.E1.L1,PASS,..,
I18739,I18739,3804; BzV 34a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 40-50 yrs.,Croatia_MLBA,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.810743,491742,267639,F,"Croatia, Bezdanja_a Cave Family B (2 members) (I18728-I18739 have a 1d relationship)",n/a (female),n/a (female),177.2,T2c1d+152,"[0.991,0.999]",0.121,0.015695364,ds.half,S18739.Y1.E1.L1,PASS,..,
I18735,I18735,3800; BzV 37a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA_1d.rel.I18077,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.052625,59065,32160,F,"Croatia, Bezdanja_a Cave Family A (2 members) (I18077-I18735 have a 1d relationship)",n/a (female),n/a (female),19.57,U5a1a1,"[0.954,0.989]",0.143,0.024305556,ds.half,S18735.Y1.E1.L1,PASS,..,
I18728,I18728,3788; BzV 28a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 40-50 yrs.,Croatia_MLBA_1d.rel.I18739,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.024429,27850,15499,F,"Croatia, Bezdanja_a Cave Family B (2 members) (I18728-I18739 have a 1d relationship)",n/a (female),n/a (female),5.602,T2c1d+152,"[0.923,0.993]",0.128,0.017838405,ds.half,S18728.Y1.E1.L1,PASS,..,
I18719,I18719,3779 (BzV 10a),petrous (CBD); petrous (CBD),2021,PattersonNature2021,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA_alt,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240k,2,3.747999,822220,453767,M,n/a (no relatives detected),..,..,358.753455,HV0a1a,..,0.432,0.432,"ds.half,ds.half","S18719.Y1.E1.L1,S18719.Y1.E2.L1",PASS,..,
I18717,I18717,3777; BzV 33a,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 40+ yrs.,Croatia_MLBA_brother.I18078.father.I18071,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.862602,507232,277848,M,"Croatia, Bezdanja_a Cave Family D (3 members) (I18078-I18717 have a sibling relationship; I18717-I18071 have a father-son relationship. As expected from this family structure, the genetics are also consistent with I18078-I18071 being 2d or 3d relatives [aunt-nephew])",..,..,224.5,H5r,"[0.968,0.991]",0.097,0.430301304,ds.half,S18717.Y1.E1.L1,PASS,"Xcontam=[0.007,0.023]",
I18085,I18085,3943; BzV 30d,tooth (premolar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3450,289,2000-1000 BCE,Sub adult; 8-10 yrs.,Croatia_MLBA_lc,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.004307,4430,2244,M,n/a (no relatives detected),..,..,0.7596,n/a (<2x),n/a (<2x),0.085,0.35828877,ds.half,S18085.E1.L1,QUESTIONABLE,2500.to.5000.SNPs,
I18718_d,I18718,3778; BzV 37b,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult; 25-40 yrs.,Croatia_MLBA_lc,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.006276,7323,3909,F,n/a (no relatives detected),n/a (female),n/a (female),1.051965,n/a (<2x),n/a (<2x),0.791,0.029,ds.half,S18718.Y1.E1.L1,PASS,..,
I18736,I18736,3801; Bzv 30b,petrous (CBD),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA_lc,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240K,1,0.003,3510,1786,F,n/a (no relatives detected),n/a (female),n/a (female),0.5817,n/a (<2x),n/a (<2x),0.136,0.032,ss.half,S18736.Y1.E2.L1,QUESTIONABLE,"2500.to.5000.SNPs, sexratio=0.032",
CAO006,CAO006,Ma! CA Museo,tooth,2020,NagelePosthScience2020,"Context: Date(s) from same site (CAO019, CAO015, CAO020, I10757, I10937, CAO014, I13487, CAO002008, CAO029, I11169, CAO031, CAO024, CAO022026, CAO027, I17595, CAO004, I17588, I11170, I17591, I17587, CAO023025, I17589, CAO011, I10756, CAO001, I17594, CAO021, CAO028)",2000,779,1400 BCE - 1300 CE,..,Cuba_CanimarAbajo_Archaic,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,0.102447,109640,59513,M,n/a (no relatives detected),..,Q1b,63.908,D1,..,0.07415,0.575236822,ds.half,CAO006.A0101.TF1.1,PASS,..,
CAO010,CAO010,E2,tooth,2020,NagelePosthScience2020,"Context: Date(s) from same site (CAO019, CAO015, CAO020, I10757, I10937, CAO014, I13487, CAO002008, CAO029, I11169, CAO031, CAO024, CAO022026, CAO027, I17595, CAO004, I17588, I11170, I17591, I17587, CAO023025, I17589, CAO011, I10756, CAO001, I17594, CAO021, CAO028)",2000,779,1400 BCE - 1300 CE,..,Cuba_CanimarAbajo_Archaic,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,0.551515,440438,237237,M,n/a (no relatives detected),..,Q1b1a1a1,33.0677,C1d1,..,0.10555,0.57094611,ds.half,CAO010.A0101.TF1.1,PASS,..,
CAO015,CAO015,E104,petrous,2020,NagelePosthScience2020,Direct: IntCal20,3131,42,"1263-1118 calBCE (2967±20 BP, MAMS-44070)",..,Cuba_CanimarAbajo_Archaic,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,3.389388,868710,466694,F,n/a (no relatives detected),n/a (female),n/a (female),78.4852,C1d1,..,0.2052,0.046373546,ds.half,CAO015.A0101.TF1.1,PASS,..,
CAO016,CAO016,E108,petrous,2020,NagelePosthScience2020,"Context: Date(s) from same site (CAO019, CAO015, CAO020, I10757, I10937, CAO014, I13487, CAO002008, CAO029, I11169, CAO031, CAO024, CAO022026, CAO027, I17595, CAO004, I17588, I11170, I17591, I17587, CAO023025, I17589, CAO011, I10756, CAO001, I17594, CAO021, CAO028)",2000,779,1400 BCE - 1300 CE,..,Cuba_CanimarAbajo_Archaic,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,1.139997,664461,358040,F,n/a (no relatives detected),n/a (female),n/a (female),17.7455,A2+(64),..,0.07725,0.034654736,ds.half,CAO016.A0101.TF1.1,PASS,..,
CAO017,CAO017,E110,petrous,2020,NagelePosthScience2020,"Context: Date(s) from same site (CAO019, CAO015, CAO020, I10757, I10937, CAO014, I13487, CAO002008, CAO029, I11169, CAO031, CAO024, CAO022026, CAO027, I17595, CAO004, I17588, I11170, I17591, I17587, CAO023025, I17589, CAO011, I10756, CAO001, I17594, CAO021, CAO028)",2000,779,1400 BCE - 1300 CE,..,Cuba_CanimarAbajo_Archaic,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,2.220754,796281,430093,M,n/a (no relatives detected),..,Q1b1a2,76.714,..,..,0.0816,0.609498034,ds.half,CAO017.A0101.TF1.1,PASS,..,
CAO019,CAO019,E119,tooth,2020,NagelePosthScience2020,Direct: IntCal20,3188,47,"1375-1128 calBCE (3000±19 BP, MAMS-44074)",..,Cuba_CanimarAbajo_Archaic,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,0.417928,359693,197747,F,"Cuba, Canimar Abajo Family B (2 members) (I10937-CAO019 have a 1d or 2d relationship)",n/a (female),n/a (female),14.6757,..,..,0.1656,0.032537262,ds.half,CAO019.A0101.TF1.1,PASS,..,
CAO020,CAO020,E121,petrous,2020,NagelePosthScience2020,Direct: IntCal20,3112,44,"1258-1055 calBCE (2952±22 BP, MAMS-44075)",..,Cuba_CanimarAbajo_Archaic,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,3.913211,904348,485547,F,"Cuba, Matanzas City, Canimar Abajo Family C (2 members) (I10757-CAO020 have a 2d or 3d relationship)",n/a (female),n/a (female),111.5139,A2+(64),..,0.1849,0.05070119,ds.half,CAO020.A0101.TF1.1,PASS,..,
CAO018,CAO018,E111,petrous,2020,NagelePosthScience2020,Context: Date(s) from duplicate or close relative CAO015,3150,58,1300-1100 BCE,..,Cuba_CanimarAbajo_Archaic_dup.or.1d.rel.CAO015,"Matanzas City, Canimar Abajo",Cuba,23.038,-81.497,Repulldown on 3.2M snpset,1240K,1,0.033574,38484,20994,U,n/a (no relatives detected),n/a  (sex unknown),n/a  (sex unknown),0.3192,n/a (<2x),n/a (<2x),0.14785,0.123206365,ds.half,CAO018.A0101.TF1.1,PASS,..,
CUC001,CUC001,8,petrous,2020,NagelePosthScience2020,Context: Archaeological - Period,2000,779,1400 BCE - 1300 CE,..,Cuba_CuevaCalero_Archaic,"Matanzas Province, Cardenas, Cueva Calero ",Cuba,23.05,-81.317,Repulldown on 3.2M snpset,1240K,1,0.030942,35563,19514,M,n/a (no relatives detected),..,n/a,1.1083,n/a (<2x),n/a (<2x),0.12965,0.537845074,ds.half,CUC001.A0101.TF1.1,PASS,..,
CUC002,CUC002,234,petrous,2020,NagelePosthScience2020,Context: Archaeological - Period,2000,779,1400 BCE - 1300 CE,..,Cuba_CuevaCalero_Archaic,"Matanzas Province, Cardenas, Cueva Calero ",Cuba,23.05,-81.317,Repulldown on 3.2M snpset,1240K,1,3.124329,859332,466546,M,n/a (no relatives detected),..,Q1b1a1a1,138.7618,A2,..,0.0933,0.632100278,ds.half,CUC002.A0101.TF1.1,PASS,..,
CUC003,CUC003,2,petrous,2020,NagelePosthScience2020,Context: Archaeological - Period,2000,779,1400 BCE - 1300 CE,..,Cuba_CuevaCalero_Archaic,"Matanzas Province, Cardenas, Cueva Calero ",Cuba,23.05,-81.317,Repulldown on 3.2M snpset,1240K,1,3.447362,878392,478180,F,n/a (no relatives detected),n/a (female),n/a (female),145.1887,A2,..,0.08105,0.047251575,ds.half,CUC003.A0101.TF1.1,PASS,..,
CUC004,CUC004,78,petrous,2020,NagelePosthScience2020,Context: Archaeological - Period,2000,779,1400 BCE - 1300 CE,..,Cuba_CuevaCalero_Archaic,"Matanzas Province, Cardenas, Cueva Calero ",Cuba,23.05,-81.317,Repulldown on 3.2M snpset,1240K,1,0.08237,90928,49513,M,n/a (no relatives detected),..,Q1b1a1a1,3.7719,..,..,0.2095,0.559294901,ds.half,CUC004.A0101.TF1.1,PASS,..,
CIP003,CIP003,7151_1,tooth,2020,NagelePosthScience2020,"Context: Date(s) from same site (CIP002, CIP010, CIP007012, CIP011, CIP008, CIP001, CIP009)",1950,462,800 BCE - 800 CE,..,Cuba_CuevaPerico_Archaic,"Artemisa province, Cueva del Perico I ",Cuba,22.958,-83.275,Repulldown on 3.2M snpset,1240K,2,0.37979,295325,156787,F,n/a (no relatives detected),n/a (female),n/a (female),205.5303,D1,..,0.051225,0.078255551,ds.half,"CIP003.A0101.TF1.1, CIP003.A0101.TF1.2",PASS,..,
CIP009,CIP009,2493,tooth,2020,NagelePosthScience2020,Direct: IntCal20,2734,17,"803-772 calBCE (2583±19 BP, MAMS-39619)",..,Cuba_CuevaPerico_Archaic,"Artemisa province, Cueva del Perico I ",Cuba,22.958,-83.275,Repulldown on 3.2M snpset,1240K,2,0.151879,120726,64260,M,n/a (no relatives detected),..,Q1b1a1a1,122.3954,D1,..,0.0745,0.614309368,ds.half,"CIP009.A0101.TF1.1, CIP009.A0101.TF1.2",PASS,..,
GUY001,GUY001,1613,petrous,2020,NagelePosthScience2020,"Context: Based on dates on other individuals from same site (GUY002, GUY003)",2150,346,800 BCE - 400 CE,..,Cuba_GuayaboBlanco_Archaic,"Matanzas province, Ciénaga de Zapata, Guayabo Blanco",Cuba,22.301,-80.924,Repulldown on 3.2M snpset,1240K,1,3.157118,855551,462651,M,n/a (no relatives detected),..,Q1b1a1a1,94.2327,D1,..,0.1251,0.626219492,ds.half,GUY001.A0101.TF1.1,PASS,..,
GUY002,GUY002,7398,petrous,2020,NagelePosthScience2020,Direct: IntCal20,2510,105,"749-409 calBCE (2440±22 BP, MAMS-44100)",..,Cuba_GuayaboBlanco_Archaic,"Matanzas province, Ciénaga de Zapata, Guayabo Blanco",Cuba,22.301,-80.924,Repulldown on 3.2M snpset,1240K,1,2.008383,780049,420487,M,n/a (no relatives detected),..,Q1b1a2,50.3534,A2,..,0.1684,0.59454975,ds.half,GUY002.A0101.TF1.1,PASS,..,
PDM001,PDM001,E2,petrous,2020,NagelePosthScience2020,Direct: IntCal20,1826,59,"19-231 calCE (1913±43 BP, UOC-4085)",..,Cuba_PlayadelMango_Archaic,"Granma province, Rio Cauto Basin, Playa del Mango",Cuba,20.554,-76.986,Repulldown on 3.2M snpset,1240K,1,0.409689,350397,188157,F,n/a (no relatives detected),n/a (female),n/a (female),82.6375,C1d1,..,0.2862,0.042806591,ds.half,PDM001.A0101.TF2.2,PASS,..,
PDM002,PDM002,E6,petrous,2020,NagelePosthScience2020,"Context: Based on dates on other individuals from same site (PDM003, PDM006, PDM010, PDM001, PDM004, PDM008)",1900,115,150 BCE - 250 CE,..,Cuba_PlayadelMango_Archaic,"Granma province, Rio Cauto Basin, Playa del Mango",Cuba,20.554,-76.986,Repulldown on 3.2M snpset,1240K,1,0.288636,266344,143261,F,n/a (no relatives detected),n/a (female),n/a (female),55.9021,C1d1,..,0.2481,0.034309452,ds.half,PDM002.A0101.TF2.2,PASS,..,
PDM003,PDM003,E3,petrous,2020,NagelePosthScience2020,Direct: IntCal20,1960,61,"151 calBCE- 117 calCE (2021±43 BP, UOC-4086)",..,Cuba_PlayadelMango_Archaic,"Granma province, Rio Cauto Basin, Playa del Mango",Cuba,20.554,-76.986,Repulldown on 3.2M snpset,1240K,1,0.092541,96602,50767,M,n/a (no relatives detected),..,Q1b1a1a,10.0104,C1d1,..,0.2889,0.563462923,ds.half,PDM003.A0101.TF1.1,PASS,..,
PDM004,PDM004,E14,tooth,2020,NagelePosthScience2020,Direct: IntCal20,1824,43,"31-210 calCE (1915±23 BP, MAMS-36505)",..,Cuba_PlayadelMango_Archaic,"Granma province, Rio Cauto Basin, Playa del Mango",Cuba,20.554,-76.986,Repulldown on 3.2M snpset,1240K,1,1.626592,721450,388920,M,n/a (no relatives detected),..,Q1b1a1a1,241.2549,C1d1,..,0.195,0.577683517,ds.half,PDM004.B0101.TF1.1,PASS,..,
PDM006,PDM006,E9,petrous,2020,NagelePosthScience2020,Direct: IntCal20,1992,42,"151 calBCE - 25 calCE (2047±24 BP, UOC-6849)",..,Cuba_PlayadelMango_Archaic,"Granma province, Rio Cauto Basin, Playa del Mango",Cuba,20.554,-76.986,Repulldown on 3.2M snpset,1240K,1,0.530456,408284,217133,F,n/a (no relatives detected),n/a (female),n/a (female),15.6104,C1d1,..,0.23175,0.054750241,ds.half,PDM006.A0101.TF2.1,PASS,..,
PDM009,PDM009,E17,petrous,2020,NagelePosthScience2020,"Context: Based on dates on other individuals from same site (PDM003, PDM006, PDM010, PDM001, PDM004, PDM008)",1900,115,150 BCE - 250 CE,..,Cuba_PlayadelMango_Archaic,"Granma province, Rio Cauto Basin, Playa del Mango",Cuba,20.554,-76.986,Repulldown on 3.2M snpset,1240K,1,0.367005,322596,173818,M,n/a (no relatives detected),..,Q1b1a1a1,38.8345,C1d1,..,0.2009,0.558790877,ds.half,PDM009.A0101.TF1.1,PASS,..,
PDM010,PDM010,E15,petrous,2020,NagelePosthScience2020,Direct: IntCal20,1877,34,"14-125 calCE (1951±20 BP, UOC-6851)",..,Cuba_PlayadelMango_Archaic,"Granma province, Rio Cauto Basin, Playa del Mango",Cuba,20.554,-76.986,Repulldown on 3.2M snpset,1240K,1,0.678763,468267,252948,F,n/a (no relatives detected),n/a (female),n/a (female),41.4221,A2,..,0.20105,0.056207589,ds.half,PDM010.A0101.TF1.1,PASS,..,
I7949,I7949,BILI_7958 (Bilina inv. 7958),petrous,2019,NarasimhanPattersonScience2019,Direct: IntCal20,3022,42,"1192-1005 calBCE (2890±20 BP, PSUAMS-6927)",..,Czech_BA_Veterov_2,Bilina,Czech Republic,50.548056,13.776111,Repulldown on 3.2M snpset,1240K,1,5.470052,838898,461403,M,n/a (no relatives detected),..,..,233,U5a1i1,"[0.985,0.994]",0.108,0.42,ds.half,S7949.E1.L1,PASS,..,
I7953,I7953,HROB_B (Hrobice individual B),petrous,2021,PattersonNature2021,Direct: IntCal20,2239,56,"387-208 calBCE (2245±20 BP, PSUAMS-10086)",..,Czech_IA,"NW Bohemia, Ústí nad Labem, Hrbovice",Czech Republic,50.106753,15.787564,Repulldown on 3.2M snpset,1240K,1,5.483655,802081,443927,F,n/a (no relatives detected),n/a (female),n/a (female),223,H2a2a1,"[0.989,0.998]",0.073,0.013,ds.half,S7953.E1.L1,PASS,..,
I14980,I14980,"2284 (P7A-31688, 1)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2625,72,800-550 BCE,..,Czech_IA_Hallstatt,"NW Bohemia, Litoměřice, Lovosice",Czech Republic,50.511157,14.063419,Repulldown on 3.2M snpset,1240K,1,3.249181,776943,430323,F,n/a (no relatives detected),n/a (female),n/a (female),367.5,U5a2b,"[0.982,1.000]",0.133,0.008,ds.half,S14980.Y1.E1.L1,PASS,..,
I14983,I14983,"2287 (P7A-14345, 4/89)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,2625,72,800-550 BCE,..,Czech_IA_Hallstatt,"NW Bohemia, Litoměřice, Lovosice",Czech Republic,50.511157,14.063419,Repulldown on 3.2M snpset,1240K,1,1.139212,632615,348993,M,"Czech Republic, Lovosice Family A (2 members) (I14983-I17312 have a 2d or 3d relationship)",..,..,91.86,J1c1,"[0.983,0.998]",0.122,0.389,ds.half,S14983.Y1.E1.L1,PASS,..,
I15071,I15071,"2098 (P7A-37512, B9)",petrous,2021,PattersonNature2021,Context: Date on family member I16088 agrees with archaeological context,2625,72,800-550 BCE,..,Czech_IA_Hallstatt,"NW Bohemia, Chomutov, Poláky",Czech Republic,50.336647,13.350577,Repulldown on 3.2M snpset,1240K,1,0.345835,320637,176681,M,"Czech Republic, Pol�ky Family A (3 members) (I16087-I16088 have a 1d relationship; I16088-I15071 have a 2d or 3d relationship)",..,..,30.27,U5b1b1+@16192,"[0.955,0.986]",0.129,0.388,ds.half,S15071.Y1.E1.L1,PASS,..,
I16088,I16088,"2101 (P7A-38087, Obj. 2)",petrous,2021,PattersonNature2021,Direct: IntCal20,2593,67,"771-543 calBCE (2495±20 BP, PSUAMS-10021)",..,Czech_IA_Hallstatt,"NW Bohemia, Chomutov, Poláky",Czech Republic,50.336647,13.350577,Repulldown on 3.2M snpset,1240K,1,0.507157,395726,214750,F,"Czech Republic, Pol�ky Family A (3 members) (I16087-I16088 have a 1d relationship; I16088-I15071 have a 2d or 3d relationship)",n/a (female),n/a (female),61.63,U5b1b1+@16192,"[0.974,0.994]",0.205,0.011,ds.half,S16088.Y1.E1.L1,PASS,..,
